event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,argos:valid-location-manual,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
372402834,false,2014-05-18 07:19:50.000,-74.00099999999998,35.448,true,0.0,-124.0,401.6776704,,,"30",35.448,36.675,"Z",-74.001,-80.155,4,0,0,,75.0,,,189,125,233,96,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402835,true,2014-05-18 08:34:07.000,-74.60699999999997,35.721,,0.0,-129.0,401.6776475,,,"56",35.721,29.954,"1",-74.607,-47.759,7,0,3,,227.0,,,184,66,169,98,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402836,false,2014-05-18 10:16:31.000,-74.743,35.712,true,0.0,-124.0,401.677655,,,"68",35.712,39.987,"0",-74.743,-95.62,4,0,2,,52.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402837,false,2014-05-18 10:36:24.000,,,true,0.0,-134.0,401.6776513,,,"00",,,"Z",,,1,0,,,,,,176,170,233,96,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402838,true,2014-05-18 10:57:43.000,-74.63999999999999,35.704,,0.0,-124.0,401.6776622,,,"68",35.704,33.535,"0",-74.64,-85.636,6,0,2,,110.0,,,220,139,201,100,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402839,true,2014-05-18 13:57:15.000,-74.67899999999997,35.707,,0.0,-128.0,401.6776513,,,"00",35.707,29.865,"B",-74.679,-47.705,3,0,2,,22.0,,,188,135,41,97,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402840,true,2014-05-18 15:46:40.000,-74.762,35.69,,0.0,-120.0,401.6776543,,,"58",35.69,41.046,"0",-74.762,-100.909,6,1,2,,97.0,,,216,69,9,100,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402841,false,2014-05-18 20:13:22.000,,,true,0.0,-134.0,401.6776513,,,"00",,,"Z",,,2,0,,,,,,222,249,137,96,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402842,false,2014-05-18 23:44:09.000,,,true,0.0,-137.0,401.6776294,,,"00",,,"Z",,,1,0,,,,,,180,177,217,100,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402843,false,2014-05-19 00:51:38.000,-75.202,35.727,true,0.0,-134.0,401.6775471,,,"54",35.727,43.947,"0",-75.202,-116.196,4,0,1,,78.0,,,181,55,233,,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
